AccountNumber,Usagedate,Value,Meternumber
2151740-652066,4/13/2022,5,2151740-10450-1
2151800-13998,8/14/2019,17,2151800-10450-1
2151800-13998,2/12/2020,-22,2151800-10450-1
2151800-13998,10/13/2021,17,2151800-10450-1
2401580-149839,6/17/2019,53,2401580-10450-1
2401580-149839,12/16/2019,66,2401580-10450-1
2151060-5650,12/16/2019,16,2151060-10450-1
2151060-5650,2/12/2020,28,2151060-10450-1
2151060-5650,6/15/2020,21,2151060-10450-1
2151060-5650,8/17/2020,10,2151060-10450-1
2151060-5650,2/16/2021,21,2151060-10450-1
2151060-5650,10/13/2020,31,2151060-10450-1
2152860-653453,2/12/2020,20,2152860-10450-1
2152860-653453,8/16/2021,37,2152860-10450-1
2101000-580998,4/15/2019,13,2101000-10450-1
2101000-580998,12/16/2019,16,2101000-10450-1
2101000-580998,2/16/2021,24,2101000-10450-1
2151580-3091,6/17/2019,16,2151580-10450-1
2151580-3091,12/15/2020,9,2151580-10450-1
2151580-3091,10/13/2021,16,2151580-10450-1
2151580-3091,12/15/2021,12,2151580-10450-1
2151580-3091,4/13/2022,12,2151580-10450-1
2151580-3091,2/12/2019,7,2151580-10450-1
2151580-3091,12/16/2019,13,2151580-10450-1
2151580-3091,2/16/2021,11,2151580-10450-1
2151740-652066,4/15/2019,6,2151740-10450-1
2151740-652066,4/13/2021,3,2151740-10450-1
2151740-652066,10/13/2021,2,2151740-10450-1
2151740-652066,2/15/2022,3,2151740-10450-1
2151740-652066,2/12/2019,7,2151740-10450-1
2151740-652066,10/15/2019,6,2151740-10450-1
2151740-652066,2/12/2020,5,2151740-10450-1
2151740-652066,8/17/2020,5,2151740-10450-1
2151740-652066,10/13/2020,7,2151740-10450-1
2151740-652066,12/15/2020,5,2151740-10450-1
2151740-652066,12/15/2021,4,2151740-10450-1
2151800-13998,6/17/2019,17,2151800-10450-1
2151800-13998,2/16/2021,16,2151800-10450-1
2151800-13998,6/14/2021,16,2151800-10450-1
2151800-13998,8/16/2021,19,2151800-10450-1
2151060-5650,6/14/2021,21,2151060-10450-1
2151060-5650,8/16/2021,19,2151060-10450-1
1451200-8924,4/13/2021,19,1451200-10450-1
1503120-27416,10/15/2019,24,1503120-10450-1
1503120-27416,2/16/2021,26,1503120-10450-1
1503120-27416,6/17/2019,28,1503120-10450-1
1503120-27416,10/13/2021,27,1503120-10450-1
1503120-27416,12/15/2021,27,1503120-10450-1
1503120-27416,4/13/2022,23,1503120-10450-1
1752600-579193,10/15/2019,28,1752600-10450-1
1752600-579193,6/14/2021,31,1752600-10450-1
1503120-27416,4/14/2020,18,1503120-10450-1
1751460-171829,4/15/2019,44,1751460-10450-1
1751460-171829,8/17/2020,87,1751460-10450-1
1751460-171829,2/15/2022,26,1751460-10450-1
1751460-171829,4/13/2022,26,1751460-10450-1
1752600-579193,6/17/2019,33,1752600-10450-1
1752600-579193,6/15/2020,32,1752600-10450-1
1752600-579193,10/13/2020,30,1752600-10450-1
1752600-579193,2/16/2021,31,1752600-10450-1
1751460-171829,4/13/2021,15,1751460-10450-1
1751460-171829,8/16/2021,32,1751460-10450-1
1751460-171829,6/15/2020,284,1751460-10450-1
1751460-171829,2/16/2021,29,1751460-10450-1
1751460-171829,10/13/2021,20,1751460-10450-1
1752600-579193,12/15/2020,30,1752600-10450-1
1752600-579193,10/13/2021,32,1752600-10450-1
1752600-579193,4/13/2022,23,1752600-10450-1
1752600-579193,8/14/2019,41,1752600-10450-1
1752600-579193,4/13/2021,22,1752600-10450-1
1752600-579193,4/15/2019,21,1752600-10450-1
1752600-579193,2/12/2020,19,1752600-10450-1
1752600-579193,8/17/2020,44,1752600-10450-1
1751460-171829,2/12/2019,63,1751460-10450-1
1751460-171829,2/12/2020,226,1751460-10450-1
1751460-171829,4/14/2020,111,1751460-10450-1
1751460-171829,6/14/2021,23,1751460-10450-1
1752600-579193,4/14/2020,28,1752600-10450-1
1752600-579193,8/16/2021,40,1752600-10450-1
1902800-651600,10/15/2019,28,1902800-10450-1
1902800-651600,2/12/2020,26,1902800-10450-1
1902800-651600,12/15/2020,23,1902800-10450-1
2151740-652066,8/14/2019,6,2151740-10450-1
2151800-13998,10/15/2019,18,2151800-10450-1
2151800-13998,12/16/2019,46,2151800-10450-1
2151800-13998,12/15/2020,16,2151800-10450-1
2151800-13998,4/13/2021,11,2151800-10450-1
2151800-13998,12/15/2021,14,2151800-10450-1
2151800-13998,2/15/2022,13,2151800-10450-1
2151060-5650,6/17/2019,26,2151060-10450-1
2151060-5650,10/15/2019,0,2151060-10450-1
2151580-3091,10/15/2019,11,2151580-10450-1
2151580-3091,4/14/2020,12,2151580-10450-1
2151580-3091,10/13/2020,13,2151580-10450-1
2151740-652066,6/14/2021,4,2151740-10450-1
2151740-652066,8/16/2021,5,2151740-10450-1
2151800-13998,6/15/2020,15,2151800-10450-1
2151800-13998,8/17/2020,19,2151800-10450-1
2151800-13998,4/13/2022,20,2151800-10450-1
2101000-580998,2/12/2019,11,2101000-10450-1
2101000-580998,8/14/2019,25,2101000-10450-1
2101000-580998,10/13/2020,34,2101000-10450-1
2101000-580998,6/14/2021,23,2101000-10450-1
2101000-580998,12/15/2021,22,2101000-10450-1
2350420-53784,4/15/2019,1,2350420-10555-1
2350420-53784,4/15/2019,92,2350420-10450-1
2350420-53784,4/14/2020,196,2350420-10450-1
2350420-53784,10/13/2021,0,2350420-10555-1
2202200-553150,6/17/2019,13,2202200-10450-1
2202200-553150,10/15/2019,12,2202200-10450-1
2151060-5650,4/15/2019,17,2151060-10450-1
2151060-5650,12/15/2020,13,2151060-10450-1
2151580-3091,4/15/2019,10,2151580-10450-1
2151740-652066,6/15/2020,5,2151740-10450-1
2151800-13998,4/15/2019,11,2151800-10450-1
2152860-653453,4/15/2019,25,2152860-10450-1
2152860-653453,8/14/2019,43,2152860-10450-1
2202200-553150,8/14/2019,15,2202200-10450-1
2202200-553150,4/14/2020,15,2202200-10450-1
2202200-553150,10/13/2020,17,2202200-10450-1
2202200-553150,2/16/2021,17,2202200-10450-1
2202200-553150,8/16/2021,17,2202200-10450-1
2202200-553150,8/17/2020,19,2202200-10450-1
2350420-53784,8/14/2019,0,2350420-10555-1
2350420-53784,10/15/2019,182,2350420-10450-1
2350420-53784,2/16/2021,0,2350420-10555-1
2350420-53784,6/14/2021,176,2350420-10450-1
2350660-657392,6/15/2020,16,2350660-10450-1
2350660-657392,10/13/2021,17,2350660-10450-1
2202200-553150,12/16/2019,16,2202200-10450-1
2202200-553150,6/15/2020,18,2202200-10450-1
2202200-553150,10/13/2021,50,2202200-10450-1
2350420-53784,2/12/2019,134,2350420-10450-1
2350420-53784,2/12/2019,-5,2350420-10555-1
2350420-53784,6/17/2019,132,2350420-10450-1
2350420-53784,8/14/2019,47,2350420-10450-1
2350420-53784,2/12/2020,0,2350420-10555-1
2350420-53784,4/13/2022,259,2350420-10450-1
2202200-553150,2/12/2020,16,2202200-10450-1
2202200-553150,12/15/2020,14,2202200-10450-1
2202200-553150,2/15/2022,12,2202200-10450-1
2350660-657392,8/17/2020,19,2350660-10450-1
2350660-657392,12/15/2021,11,2350660-10450-1
2350660-657392,10/13/2020,17,2350660-10450-1
2350660-657392,2/16/2021,22,2350660-10450-1
2500080-28053,12/16/2019,37,2500080-10450-1
2500080-28053,6/15/2020,19,2500080-10450-1
2500080-28053,6/14/2021,32,2500080-10450-1
2401580-149839,8/14/2019,84,2401580-10450-1
2401580-149839,10/15/2019,42,2401580-10450-1
2401580-149839,2/16/2021,56,2401580-10450-1
2501200-566904,4/15/2019,22,2501200-10450-1
2501200-566904,8/14/2019,18,2501200-10450-1
2501200-566904,2/16/2021,19,2501200-10450-1
2501200-566904,12/15/2021,12,2501200-10450-1
2653980-666640,4/12/2022,42,2653980-10450-1
2401580-149839,2/12/2019,37,2401580-10450-1
2401580-149839,2/12/2020,21,2401580-10450-1
2401580-149839,4/14/2020,25,2401580-10450-1
2401580-149839,12/15/2021,37,2401580-10450-1
2401580-149839,10/13/2021,79,2401580-10450-1
2401580-149839,2/15/2022,29,2401580-10450-1
2151060-5650,10/13/2021,24,2151060-10450-1
2151580-3091,8/14/2019,3,2151580-10450-1
2151580-3091,8/16/2021,14,2151580-10450-1
2152860-653453,10/13/2020,48,2152860-10450-1
2152860-653453,2/16/2021,18,2152860-10450-1
2152860-653453,6/14/2021,17,2152860-10450-1
2151740-652066,4/14/2020,5,2151740-10450-1
2151800-13998,4/14/2020,13,2151800-10450-1
2152860-653453,2/12/2019,17,2152860-10450-1
2152860-653453,6/17/2019,21,2152860-10450-1
2152860-653453,12/16/2019,22,2152860-10450-1
2152860-653453,4/14/2020,17,2152860-10450-1
2152860-653453,4/13/2021,12,2152860-10450-1
2152860-653453,4/13/2022,15,2152860-10450-1
2151060-5650,2/12/2019,17,2151060-10450-1
2151060-5650,4/14/2020,17,2151060-10450-1
2151060-5650,2/15/2022,15,2151060-10450-1
2500080-28053,12/15/2020,2,2500080-10450-1
2500080-28053,8/16/2021,37,2500080-10450-1
2500080-28053,10/13/2021,43,2500080-10450-1
2500080-28053,12/15/2021,28,2500080-10450-1
2202200-553150,2/12/2019,13,2202200-10450-1
2202200-553150,4/15/2019,9,2202200-10450-1
2202200-553150,4/13/2021,15,2202200-10450-1
2202200-553150,4/13/2022,15,2202200-10450-1
2202200-553150,6/14/2021,15,2202200-10450-1
2151580-3091,2/12/2020,11,2151580-10450-1
2151580-3091,6/15/2020,10,2151580-10450-1
2151580-3091,6/14/2021,12,2151580-10450-1
2202200-553150,12/15/2021,-20,2202200-10450-1
2151580-3091,2/15/2022,11,2151580-10450-1
2151740-652066,6/17/2019,8,2151740-10450-1
2151740-652066,2/16/2021,4,2151740-10450-1
2151800-13998,2/12/2019,11,2151800-10450-1
2151800-13998,10/13/2020,18,2151800-10450-1
2501200-566904,4/14/2020,88,2501200-10450-1
2501200-566904,6/15/2020,84,2501200-10450-1
2501200-566904,8/16/2021,37,2501200-10450-1
2501200-566904,10/13/2021,22,2501200-10450-1
2152860-653453,6/15/2020,20,2152860-10450-1
2152860-653453,8/17/2020,33,2152860-10450-1
2152860-653453,12/15/2020,18,2152860-10450-1
2152860-653453,10/13/2021,37,2152860-10450-1
2152860-653453,2/15/2022,20,2152860-10450-1
2401580-149839,8/17/2020,14,2401580-10450-1
2401580-149839,12/15/2020,46,2401580-10450-1
2401580-149839,4/13/2021,55,2401580-10450-1
2401580-149839,6/14/2021,60,2401580-10450-1
2350420-53784,10/15/2019,0,2350420-10555-1
2350420-53784,12/16/2019,221,2350420-10450-1
2350420-53784,2/12/2020,197,2350420-10450-1
2350420-53784,4/14/2020,0,2350420-10555-1
2350420-53784,2/16/2021,147,2350420-10450-1
2350420-53784,10/13/2021,203,2350420-10450-1
2350420-53784,2/15/2022,-1,2350420-10555-1
2350660-657392,10/15/2019,3,2350660-10450-1
2350660-657392,12/16/2019,14,2350660-10450-1
2350660-657392,4/13/2022,14,2350660-10450-1
2350420-53784,12/16/2019,0,2350420-10555-1
2350420-53784,8/17/2020,153,2350420-10450-1
2350420-53784,10/13/2020,0,2350420-10555-1
2650020-660880,12/14/2021,15,2650020-10450-1
2350420-53784,12/15/2020,0,2350420-10555-1
2350420-53784,12/15/2021,1,2350420-10555-1
2350660-657392,4/14/2020,15,2350660-10450-1
2350660-657392,12/15/2020,12,2350660-10450-1
2350660-657392,6/14/2021,18,2350660-10450-1
2350420-53784,6/15/2020,96,2350420-10450-1
2350420-53784,12/15/2020,144,2350420-10450-1
2350420-53784,4/13/2021,157,2350420-10450-1
2350420-53784,6/14/2021,0,2350420-10555-1
2350420-53784,2/15/2022,226,2350420-10450-1
2350660-657392,4/13/2021,16,2350660-10450-1
2350660-657392,2/15/2022,16,2350660-10450-1
2350420-53784,6/17/2019,-1,2350420-10555-1
2350420-53784,8/17/2020,0,2350420-10555-1
2350420-53784,10/13/2020,156,2350420-10450-1
2350420-53784,4/13/2021,0,2350420-10555-1
2350420-53784,8/16/2021,192,2350420-10450-1
2350420-53784,12/15/2021,208,2350420-10450-1
2401580-149839,4/15/2019,35,2401580-10450-1
2401580-149839,6/15/2020,2,2401580-10450-1
2401580-149839,10/13/2020,21,2401580-10450-1
2751760-15668,2/12/2019,13,2751760-10450-1
2751760-15668,4/12/2022,27,2751760-10450-1
2350420-53784,6/15/2020,0,2350420-10555-1
2350420-53784,8/16/2021,0,2350420-10555-1
2350420-53784,4/13/2022,1,2350420-10555-1
2350660-657392,8/14/2019,11,2350660-10450-1
2350660-657392,2/12/2020,13,2350660-10450-1
2350660-657392,8/16/2021,23,2350660-10450-1
2801500-2856,2/12/2019,32,2801500-10450-1
2801500-2856,8/14/2019,52,2801500-10450-1
2801500-2856,2/12/2020,25,2801500-10450-1
2801500-2856,12/15/2020,28,2801500-10450-1
2801500-2856,10/12/2021,65,2801500-10450-1
2801620-661118,4/12/2022,33,2801620-10450-1
2500080-28053,10/15/2019,34,2500080-10450-1
2500080-28053,2/12/2020,12,2500080-10450-1
2500080-28053,2/16/2021,17,2500080-10450-1
2500080-28053,4/13/2022,26,2500080-10450-1
2501200-566904,6/17/2019,23,2501200-10450-1
2501200-566904,8/17/2020,27,2501200-10450-1
2501200-566904,12/15/2020,14,2501200-10450-1
2501200-566904,2/12/2020,10,2501200-10450-1
2501200-566904,10/13/2020,35,2501200-10450-1
2501200-566904,6/14/2021,25,2501200-10450-1
2500080-28053,8/14/2019,35,2500080-10450-1
2500080-28053,8/17/2020,36,2500080-10450-1
2900700-299334,8/17/2020,235,2900700-10450-1
2900700-299334,10/13/2020,392,2900700-10450-1
2501200-566904,2/12/2019,34,2501200-10450-1
2501200-566904,10/15/2019,12,2501200-10450-1
2653980-666640,6/14/2021,26,2653980-10450-1
2653980-666640,12/14/2021,41,2653980-10450-1
2501200-566904,4/13/2021,19,2501200-10450-1
2501200-566904,2/15/2022,18,2501200-10450-1
2950017-18579,8/16/2021,0,2950017-10450-1
2650020-660880,8/16/2021,16,2650020-10450-1
2650020-660880,4/13/2021,2,2650020-10450-1
2801500-2856,10/13/2020,58,2801500-10450-1
2650020-660880,12/15/2020,16,2650020-10450-1
2653980-666640,8/16/2021,97,2653980-10450-1
2900700-299334,12/16/2019,223,2900700-10450-1
2900700-299334,2/12/2020,36,2900700-10450-1
2900700-299334,12/14/2021,189,2900700-10450-1
2900700-299334,2/15/2022,247,2900700-10450-1
2751760-15668,4/15/2019,10,2751760-10450-1
2751760-15668,2/16/2021,16,2751760-10450-1
2751760-15668,8/16/2021,16,2751760-10450-1
2650020-660880,2/16/2021,22,2650020-10450-1
2950017-18579,4/14/2020,0,2950017-10450-1
2803480-28138,12/16/2019,46,2803480-10450-1
2803480-28138,2/12/2020,80,2803480-10450-1
2751760-15668,8/17/2020,33,2751760-10450-1
2751760-15668,2/15/2022,23,2751760-10450-1
2801500-2856,4/15/2019,20,2801500-10450-1
2801500-2856,6/14/2021,24,2801500-10450-1
2801500-2856,12/14/2021,35,2801500-10450-1
2801620-661118,8/16/2021,21,2801620-10450-1
2801620-661118,10/12/2021,54,2801620-10450-1
2751760-15668,8/14/2019,25,2751760-10450-1
2751760-15668,10/12/2021,39,2751760-10450-1
2803480-28138,10/13/2020,152,2803480-10450-1
2803480-28138,2/16/2021,25,2803480-10450-1
2803480-28138,4/13/2021,26,2803480-10450-1
2900700-299334,2/12/2019,1,2900700-10450-1
2900700-299334,8/14/2019,126,2900700-10450-1
2900700-299334,4/13/2021,119,2900700-10450-1
2803480-28138,2/12/2019,34,2803480-10450-1
2803480-28138,4/14/2020,129,2803480-10450-1
2803480-28138,8/17/2020,166,2803480-10450-1
2803480-28138,6/14/2021,20,2803480-10450-1
2803480-28138,8/16/2021,29,2803480-10450-1
2803480-28138,2/15/2022,13,2803480-10450-1
2803480-28138,4/12/2022,16,2803480-10450-1
2751760-15668,4/14/2020,36,2751760-10450-1
2751760-15668,4/13/2021,17,2751760-10450-1
2900700-299334,10/15/2019,176,2900700-10450-1
2900700-299334,4/14/2020,46,2900700-10450-1
2900700-299334,10/12/2021,283,2900700-10450-1
3021490-660601,5/16/2022,4,3021490-10450-1
2950017-18579,4/12/2022,1,2950017-10450-1
3021970-365526,5/14/2019,7,3021970-10450-1
3021970-365526,3/17/2020,6,3021970-10450-1
3021970-365526,1/15/2019,6,3021970-10450-1
3021970-365526,3/13/2019,6,3021970-10450-1
3021970-365526,11/12/2019,7,3021970-10450-1
3021970-365526,9/14/2020,7,3021970-10450-1
3021970-365526,11/16/2020,7,3021970-10450-1
3022320-668695,5/16/2022,5,3022320-10450-1
2900700-299334,4/15/2019,6,2900700-10450-1
2900700-299334,6/15/2020,81,2900700-10450-1
2900700-299334,12/15/2020,242,2900700-10450-1
2900700-299334,2/16/2021,128,2900700-10450-1
3152300-579316,11/12/2019,51,3152300-10450-1
3152300-579316,9/13/2021,53,3152300-10450-1
2950017-18579,2/12/2019,0,2950017-10450-1
2950017-18579,10/15/2019,0,2950017-10450-1
2950017-18579,12/16/2019,0,2950017-10450-1
2950017-18579,8/17/2020,0,2950017-10450-1
2950017-18579,10/12/2021,0,2950017-10450-1
2950017-18579,12/14/2021,0,2950017-10450-1
2950017-18579,2/15/2022,1,2950017-10450-1
3021970-365526,5/12/2020,6,3021970-10450-1
3021970-365526,5/16/2021,6,3021970-10450-1
3021970-365526,3/15/2022,4,3021970-10450-1
3021970-365526,1/17/2022,5,3021970-10450-1
3021970-365526,5/16/2022,5,3021970-10450-1
3056780-660221,9/14/2020,4,3056780-10450-1
3200360-655257,11/16/2021,75,3200360-10450-1
3056780-660221,1/13/2021,5,3056780-10450-1
3056780-660221,5/16/2022,7,3056780-10450-1
3056780-660221,9/13/2021,5,3056780-10450-1
3152300-579316,5/14/2019,29,3152300-10450-1
3152300-579316,7/13/2021,43,3152300-10450-1
3152300-579316,11/16/2021,46,3152300-10450-1
3152300-579316,3/15/2022,35,3152300-10450-1
3202580-6670,5/14/2019,28,3202580-10450-1
3202580-6670,7/13/2021,26,3202580-10450-1
3202580-6670,9/14/2021,26,3202580-10450-1
3202580-6670,11/16/2021,23,3202580-10450-1
3452280-652248,5/14/2019,6,3452280-10450-1
3452280-652248,9/16/2019,6,3452280-10450-1
3452280-652248,1/13/2021,9,3452280-10450-1
3452520-661795,1/17/2022,18,3452520-10450-1
3200360-655257,1/15/2019,102,3200360-10450-1
3200360-655257,7/15/2019,118,3200360-10450-1
3200360-655257,3/17/2020,68,3200360-10450-1
3200360-655257,9/14/2020,120,3200360-10450-1
3200360-655257,11/16/2020,92,3200360-10450-1
3200360-655257,7/13/2021,97,3200360-10450-1
3200360-655257,1/17/2022,56,3200360-10450-1
3200360-655257,5/17/2022,63,3200360-10450-1
3301360-653043,1/15/2019,8,3301360-10450-1
3301360-653043,5/14/2019,12,3301360-10450-1
3301360-653043,9/16/2019,10,3301360-10450-1
3301360-653043,1/13/2021,11,3301360-10450-1
3301360-653043,3/15/2021,10,3301360-10450-1
3152300-579316,7/15/2019,44,3152300-10450-1
3152300-579316,3/15/2021,28,3152300-10450-1
3152300-579316,1/17/2022,26,3152300-10450-1
3152300-579316,5/16/2022,36,3152300-10450-1
3302300-5019,7/15/2019,0,3302300-10450-1
3302300-5019,7/14/2020,15,3302300-10450-1
3302300-5019,9/14/2020,11,3302300-10450-1
3302300-5019,11/16/2020,10,3302300-10450-1
3302300-5019,11/16/2021,7,3302300-10450-1
3302300-5019,3/15/2022,8,3302300-10450-1
3251400-655261,3/13/2019,17,3251400-10450-1
3251400-655261,11/12/2019,54,3251400-10450-1
3251400-655261,11/16/2020,24,3251400-10450-1
3251400-655261,1/17/2022,36,3251400-10450-1
3200360-655257,9/16/2019,119,3200360-10450-1
3200360-655257,9/14/2021,77,3200360-10450-1
3202580-6670,7/15/2019,26,3202580-10450-1
3202580-6670,11/12/2019,28,3202580-10450-1
3202580-6670,9/14/2020,33,3202580-10450-1
3202580-6670,3/15/2021,29,3202580-10450-1
3202580-6670,1/17/2022,21,3202580-10450-1
3302300-5019,5/14/2019,14,3302300-10450-1
2401580-149839,4/13/2022,28,2401580-10450-1
2501200-566904,4/13/2022,9,2501200-10450-1
2803480-28138,10/12/2021,25,2803480-10450-1
2500080-28053,4/15/2019,16,2500080-10450-1
2500080-28053,6/17/2019,41,2500080-10450-1
2650020-660880,6/14/2021,36,2650020-10450-1
2650020-660880,10/12/2021,14,2650020-10450-1
2401580-149839,8/16/2021,60,2401580-10450-1
2501200-566904,12/16/2019,23,2501200-10450-1
2500080-28053,2/12/2019,23,2500080-10450-1
2500080-28053,4/14/2020,25,2500080-10450-1
2500080-28053,10/13/2020,43,2500080-10450-1
2500080-28053,4/13/2021,26,2500080-10450-1
2500080-28053,2/15/2022,27,2500080-10450-1
2650020-660880,2/15/2022,12,2650020-10450-1
2650020-660880,4/12/2022,12,2650020-10450-1
2751760-15668,6/17/2019,24,2751760-10450-1
2751760-15668,6/15/2020,28,2751760-10450-1
2653980-666640,10/12/2021,55,2653980-10450-1
2653980-666640,2/15/2022,45,2653980-10450-1
2803480-28138,8/14/2019,54,2803480-10450-1
2803480-28138,6/15/2020,121,2803480-10450-1
2803480-28138,12/14/2021,14,2803480-10450-1
2751760-15668,12/16/2019,20,2751760-10450-1
2751760-15668,2/12/2020,10,2751760-10450-1
2751760-15668,12/14/2021,28,2751760-10450-1
3021970-365526,7/15/2019,7,3021970-10450-1
2801500-2856,12/16/2019,34,2801500-10450-1
2801500-2856,4/14/2020,21,2801500-10450-1
2801500-2856,4/13/2021,22,2801500-10450-1
2801500-2856,4/12/2022,26,2801500-10450-1
2801620-661118,12/14/2021,51,2801620-10450-1
2801620-661118,2/15/2022,30,2801620-10450-1
2801500-2856,10/15/2019,46,2801500-10450-1
2801500-2856,2/15/2022,20,2801500-10450-1
2751760-15668,10/15/2019,25,2751760-10450-1
2751760-15668,10/13/2020,32,2751760-10450-1
2751760-15668,12/15/2020,22,2751760-10450-1
2751760-15668,6/14/2021,31,2751760-10450-1
2803480-28138,6/17/2019,45,2803480-10450-1
2803480-28138,12/15/2020,33,2803480-10450-1
2900700-299334,6/17/2019,22,2900700-10450-1
2900700-299334,8/16/2021,168,2900700-10450-1
2900700-299334,4/12/2022,226,2900700-10450-1
2801500-2856,6/17/2019,50,2801500-10450-1
2801620-661118,4/13/2021,-4,2801620-10450-1
2801500-2856,6/15/2020,30,2801500-10450-1
2801500-2856,8/17/2020,62,2801500-10450-1
2801500-2856,2/16/2021,27,2801500-10450-1
2801500-2856,8/16/2021,64,2801500-10450-1
2801620-661118,12/15/2020,6,2801620-10450-1
2801620-661118,2/16/2021,5,2801620-10450-1
2801620-661118,6/14/2021,8,2801620-10450-1
2950017-18579,6/17/2019,0,2950017-10450-1
2950017-18579,2/12/2020,0,2950017-10450-1
2950017-18579,6/15/2020,0,2950017-10450-1
2950017-18579,10/13/2020,0,2950017-10450-1
2950017-18579,12/15/2020,0,2950017-10450-1
2950017-18579,2/16/2021,0,2950017-10450-1
2950017-18579,6/14/2021,0,2950017-10450-1
2900700-299334,6/14/2021,220,2900700-10450-1
2803480-28138,4/15/2019,41,2803480-10450-1
2803480-28138,10/15/2019,49,2803480-10450-1
2950017-18579,4/15/2019,0,2950017-10450-1
2950017-18579,8/14/2019,0,2950017-10450-1
2950017-18579,4/13/2021,0,2950017-10450-1
3021490-660601,11/16/2020,4,3021490-10450-1
3021490-660601,5/16/2021,5,3021490-10450-1
3021490-660601,7/13/2021,3,3021490-10450-1
3021490-660601,3/15/2021,4,3021490-10450-1
3056780-660221,11/16/2020,6,3056780-10450-1
3056780-660221,3/15/2021,6,3056780-10450-1
3056780-660221,5/16/2021,3,3056780-10450-1
3056780-660221,3/15/2022,5,3056780-10450-1
3200360-655257,5/14/2019,103,3200360-10450-1
3200360-655257,11/12/2019,92,3200360-10450-1
3021970-365526,1/14/2020,6,3021970-10450-1
3021970-365526,9/13/2021,5,3021970-10450-1
3021970-365526,9/16/2019,6,3021970-10450-1
3021970-365526,7/14/2020,6,3021970-10450-1
3021970-365526,7/13/2021,4,3021970-10450-1
3021970-365526,11/16/2021,4,3021970-10450-1
3022320-668695,3/15/2022,2,3022320-10450-1
3202580-6670,1/13/2021,21,3202580-10450-1
3021490-660601,9/13/2021,5,3021490-10450-1
3021490-660601,11/16/2021,4,3021490-10450-1
3021490-660601,1/17/2022,5,3021490-10450-1
3021490-660601,1/13/2021,5,3021490-10450-1
3021490-660601,3/15/2022,4,3021490-10450-1
3302300-5019,3/13/2019,6,3302300-10450-1
3302300-5019,1/14/2020,12,3302300-10450-1
3302300-5019,3/17/2020,-1,3302300-10450-1
3302300-5019,1/13/2021,10,3302300-10450-1
3302300-5019,3/15/2021,11,3302300-10450-1
3021970-365526,1/13/2021,7,3021970-10450-1
3021970-365526,3/15/2021,7,3021970-10450-1
3056780-660221,7/13/2021,7,3056780-10450-1
3056780-660221,1/17/2022,6,3056780-10450-1
3152300-579316,9/16/2019,49,3152300-10450-1
3152300-579316,7/14/2020,50,3152300-10450-1
3251400-655261,1/15/2019,37,3251400-10450-1
3251400-655261,9/16/2019,71,3251400-10450-1
3251400-655261,1/14/2020,33,3251400-10450-1
3251400-655261,5/12/2020,33,3251400-10450-1
3251400-655261,9/14/2020,70,3251400-10450-1
3056780-660221,11/16/2021,6,3056780-10450-1
3152300-579316,5/12/2020,28,3152300-10450-1
3152300-579316,5/16/2021,31,3152300-10450-1
3152300-579316,9/14/2020,54,3152300-10450-1
3152300-579316,1/13/2021,28,3152300-10450-1
3251400-655261,5/14/2019,31,3251400-10450-1
3251400-655261,3/17/2020,29,3251400-10450-1
3152300-579316,1/15/2019,25,3152300-10450-1
3152300-579316,3/17/2020,17,3152300-10450-1
3200360-655257,3/13/2019,65,3200360-10450-1
3200360-655257,1/13/2021,83,3200360-10450-1
3200360-655257,5/16/2021,89,3200360-10450-1
3200360-655257,3/15/2022,57,3200360-10450-1
3202580-6670,11/16/2020,30,3202580-10450-1
3202580-6670,5/16/2021,24,3202580-10450-1
3302300-5019,9/16/2019,7,3302300-10450-1
3302300-5019,5/12/2020,13,3302300-10450-1
3301360-653043,11/16/2021,10,3301360-10450-1
3202580-6670,1/15/2019,27,3202580-10450-1
3202580-6670,3/13/2019,19,3202580-10450-1
3202580-6670,9/16/2019,27,3202580-10450-1
3301360-653043,3/13/2019,9,3301360-10450-1
3301360-653043,7/15/2019,11,3301360-10450-1
3301360-653043,11/16/2020,12,3301360-10450-1
3301360-653043,7/13/2021,9,3301360-10450-1
3302300-5019,11/12/2019,11,3302300-10450-1
3302300-5019,1/17/2022,11,3302300-10450-1
3302300-5019,1/15/2019,7,3302300-10450-1
3302300-5019,7/13/2021,9,3302300-10450-1
3452280-652248,3/13/2019,6,3452280-10450-1
3452280-652248,9/14/2020,8,3452280-10450-1
3452280-652248,3/15/2022,6,3452280-10450-1
3251400-655261,7/15/2019,49,3251400-10450-1
3251400-655261,3/15/2021,23,3251400-10450-1
3251400-655261,7/13/2021,56,3251400-10450-1
3251400-655261,11/16/2021,48,3251400-10450-1
3202580-6670,3/17/2020,18,3202580-10450-1
3202580-6670,7/14/2020,30,3202580-10450-1
3202580-6670,3/15/2022,19,3202580-10450-1
3202580-6670,5/17/2022,23,3202580-10450-1
3452280-652248,1/14/2020,6,3452280-10450-1
3452280-652248,5/12/2020,6,3452280-10450-1
3251400-655261,9/14/2021,60,3251400-10450-1
3452280-652248,3/15/2021,5,3452280-10450-1
3452520-661795,7/13/2021,14,3452520-10450-1
3452280-652248,5/16/2021,7,3452280-10450-1
3750900-29734,3/13/2019,18,3750900-10450-1
3452520-661795,3/15/2021,1,3452520-10450-1
3452520-661795,9/13/2021,11,3452520-10450-1
3820370-28877,3/15/2022,27,3820370-10450-1
